# time = 0.3
# Grid points = 511
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel             8_temp             9_mixf            10_chi            11_hr            12_y_H2            13_y_H            14_y_O            15_y_O2            16_y_OH            17_y_H2O            18_y_HO2            19_y_CH2            20_y_CH2(S)            21_y_CH3            22_y_CH4            23_y_CO            24_y_CO2            25_y_HCO            26_y_CH2O            27_y_CH2OH            28_y_N2            29_enth
  -7.2562300218e-01  -7.5000000000e-01   1.1719838965e+00   1.8630701947e-05   1.6569810349e-12  -5.6151118055e-18  -5.6151118055e-18   3.0000002447e+02  -2.1502453561e-05   3.8315795992e-26   1.4204330462e-20   5.4793326866e-20   3.3897665952e-36   1.4943963246e-20   2.3300000000e-01   1.3349099611e-18   3.8201230618e-13   8.6337242191e-20   2.4306050998e-44   1.2571058501e-45   3.0296098395e-28   2.1179588846e-23   1.0338111378e-17   4.6659583794e-13   5.9765475289e-43   3.5805252550e-26   2.1311047317e-48   7.6700000000e-01   1.9076015927e+03
  -6.7629361971e-01  -7.0124600436e-01   1.1719838962e+00   1.8630701950e-05   1.5738278257e-11  -9.8246989999e-17  -9.8246989999e-17   3.0000002454e+02  -2.1502452118e-05   8.4148153972e-25   1.2406533254e-18   5.2117871482e-19   3.0292014477e-34   1.4060117933e-19   2.3299999999e-01   1.2669794518e-17   3.6274259338e-12   8.2118039375e-19   4.1998784663e-42   2.1721718252e-43   5.5155831224e-27   1.4916178372e-22   9.8293610749e-17   4.4305948834e-12   1.0398726539e-40   6.5649362637e-25   3.6823674263e-46   7.6700000000e-01   1.9076015860e+03
  -6.2638885040e-01  -6.5134123505e-01   1.1719838938e+00   1.8630701978e-05   1.3552280132e-10  -1.6175639897e-15  -1.6175639897e-15   3.0000002515e+02  -2.1502439828e-05   5.5064090154e-23   9.1022744901e-17   4.5037522167e-18   2.2216356530e-32   1.1970985248e-18   2.3299999994e-01   1.0903039061e-16   3.1233625678e-11   7.0885122198e-18   6.3736286424e-40   3.2964326798e-41   9.7266541175e-26   9.8150055718e-22   8.4861413233e-16   3.8149236469e-11   1.5897690982e-38   1.1664932602e-23   5.5882671534e-44   7.6699999999e-01   1.9076015287e+03
  -5.7648408109e-01  -6.0143646574e-01   1.1719838747e+00   1.8630702204e-05   1.0943492977e-09  -2.5555154647e-14  -2.5555154647e-14   3.0000003002e+02  -2.1502341399e-05   2.5246127885e-21   5.8952715287e-15   3.6707372139e-17   1.4287027382e-30   9.5238350288e-18   2.3299999953e-01   8.7995349753e-16   2.5227062686e-10   5.7533641679e-17   9.5539412584e-38   4.9412866395e-39   1.8065382389e-24   7.2060531918e-21   6.8994354056e-15   3.0812720169e-10   2.4031771921e-36   2.1852837302e-22   8.3767013904e-42   7.6699999991e-01   1.9076010701e+03
  -5.2657931178e-01  -5.5153169643e-01   1.1719837481e+00   1.8630703698e-05   7.4338225058e-09  -2.7879961112e-13  -2.7879961112e-13   3.0000006227e+02  -2.1501690136e-05   7.9043770232e-20   2.7078992246e-13   2.5482683668e-16   6.4867809590e-29   6.3516147438e-17   2.3299999678e-01   5.9755965455e-15   1.7148553760e-09   3.9496269257e-16   1.0108790122e-35   5.2282546393e-37   2.8147661316e-23   6.4470263561e-20   4.7616151435e-14   2.0945495123e-09   2.5619632845e-34   3.4312324803e-21   8.8631886179e-40   7.6699999941e-01   1.9075980351e+03
  -4.7667454247e-01  -5.0162692713e-01   1.1719830594e+00   1.8630711828e-05   4.1873763854e-08  -9.5807035124e-13  -9.5807035124e-13   3.0000023772e+02  -2.1498146523e-05   1.7462236468e-18   8.5967779260e-12   1.5086859224e-15   2.0223767471e-27   3.4997888232e-16   2.3299998182e-01   3.3658983862e-14   9.6730468040e-09   2.2758108264e-15   7.2278698222e-34   3.7382487446e-35   3.5730093740e-22   6.6167934824e-19   2.7820946329e-13   1.1814786914e-08   1.8433872991e-32   4.3836749478e-20   6.3372809468e-38   7.6699999670e-01   1.9075815198e+03
  -4.2676977318e-01  -4.5172215782e-01   1.1719799161e+00   1.8630748929e-05   1.9861233418e-07   3.5723834401e-11   3.5723834401e-11   3.0000103846e+02  -2.1481973400e-05   2.7849999546e-17   1.9651288306e-10   8.0025798023e-15   4.4896239541e-26   1.6229318674e-15   2.3299991353e-01   1.5970726552e-13   4.5994382437e-08   1.1354016766e-14   3.5729734568e-32   1.8479452648e-33   3.7224757739e-21   6.5360447955e-18   1.4362958633e-12   5.6177975962e-08   9.1540164462e-31   4.5883505055e-19   3.1327860985e-36   7.6699998429e-01   1.9075061287e+03
  -3.7686500411e-01  -4.0181738854e-01   1.1719677567e+00   1.8630892454e-05   8.0177015595e-07   9.5229424711e-10   9.5229424711e-10   3.0000413604e+02  -2.1419406288e-05   3.2290568839e-16   3.3970899495e-09   4.0961212362e-14   7.3930885571e-25   6.4868585864e-15   2.3299964938e-01   6.4542108184e-13   1.8650648640e-07   5.1366000812e-14   1.2389742813e-30   6.4080686657e-32   3.1941356469e-20   5.5923041189e-17   7.0228551591e-12   2.2779900542e-07   3.1807963068e-29   3.9453336071e-18   1.0864141028e-34   7.6699993630e-01   1.9072143357e+03
  -3.2696023656e-01  -3.5191261968e-01   1.1719278177e+00   1.8631363891e-05   2.7615244612e-06   1.3404659889e-08   1.3404659889e-08   3.0001431087e+02  -2.1213860220e-05   2.3505283320e-15   4.7260245384e-08   2.1764429279e-13   9.5083272707e-24   2.3155992003e-14   2.3299878160e-01   2.2294106425e-12   6.4811754697e-07   2.2487142044e-13   3.0122142741e-29   1.5580053850e-30   2.2483010121e-19   3.9746727128e-16   3.5398056741e-11   7.9159426862e-07   7.7250128127e-28   2.7738847530e-17   2.6419497988e-33   7.6699977865e-01   1.9062544579e+03
  -2.7705547462e-01  -3.0200785345e-01   1.1718272460e+00   1.8632551130e-05   7.6034708863e-06   9.7848890164e-08   9.7848890164e-08   3.0003993544e+02  -2.0696052770e-05   9.4893355365e-15   4.6399811860e-07   9.9809544233e-13   8.5404976701e-23   7.0530927173e-14   2.3299659552e-01   6.1722305426e-12   1.8109956291e-06   8.6628320862e-13   4.0572004506e-28   2.0987245575e-29   1.0939678405e-18   1.9511960147e-15   1.5748683501e-10   2.2118162118e-06   1.0374171945e-26   1.3454157765e-16   3.5606646126e-32   7.6699938150e-01   1.9038292808e+03
