# L (m)  = 0.1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2           013_H2O2              014_C             015_CH            016_CH2         017_CH2(S)            018_CH3            019_CH4             020_CO            021_CO2            022_HCO           023_CH2O          024_CH2OH           025_CH3O          026_CH3OH            027_C2H           028_C2H2           029_C2H3           030_C2H4           031_C2H5           032_C2H6           033_HCCO          034_CH2CO          035_HCCOH              036_N             037_NH            038_NH2            039_NH3            040_NNH             041_NO            042_NO2            043_N2O            044_HNO             045_CN            046_HCN           047_H2CN           048_HCNN           049_HCNO           050_HOCN           051_HNCO            052_NCO             053_N2             054_AR           055_C3H7           056_C3H8         057_CH2CHO         058_CH3CHO
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00
   4.1666666667e-04   4.1666666659e-03   5.0208036980e+02  -1.7458108367e+04   6.9795500981e-01   3.9753780310e-26   2.2849312816e-34   3.6428925719e-24   2.1540817713e-01   1.0631234490e-16   9.3576637790e-03   5.0971753740e-17   7.4666422284e-17  3.8266925691e-110  5.7898142499e-112  1.3601875474e-105  8.8249997715e-110   1.2002038466e-95   1.3099578536e-88   2.0957399031e-27   1.1429959069e-02   1.8924103566e-57   1.1329897592e-57   1.1738370258e-81   9.7357480164e-86   4.0550044811e-78  1.2313103144e-149  1.0629669059e-130  4.9672607557e-152  1.1412234337e-142  1.1664250355e-163  4.0810977465e-159  5.5326207449e-113  2.1143738274e-105  8.3353929248e-119   3.1845577219e-47   2.8955719340e-49   5.8719972445e-47   6.7403120528e-38   1.2032832525e-40   5.8246075698e-10   4.7519199031e-08   2.2192401011e-13   1.4354904594e-26   1.1885670077e-83   3.2004771106e-67   9.2726301739e-94  4.8741386081e-104   8.4905061090e-75   8.1300992922e-56   7.8999603262e-45   1.0914929652e-55   7.6380415192e-01   0.0000000000e+00  2.4207245959e-233  1.1057183016e-228  3.2645103448e-127  4.0729348430e-123
   1.2500000000e-03   1.2500000000e-02   8.7428129056e+02  -5.6189478853e+04   3.9817994821e-01   9.4833598510e-15   6.3277967476e-19   4.4866521868e-13   1.8022067705e-01   2.5751049353e-09   2.8072989951e-02   5.9172190999e-11   9.6004151136e-12   2.7247092212e-60   8.3849166416e-62   6.3503671343e-59   1.7934696412e-61   2.7689089381e-54   1.4169928948e-51   2.4869318729e-14   3.4289877205e-02   5.0069743183e-32   2.1880025636e-33   1.6202060036e-47   2.4249224705e-50   9.0669229446e-47   7.9780034749e-83   2.8487634843e-73   6.1541611631e-86   5.3735338917e-82   1.8670369362e-94   2.5013872926e-93   1.7210782015e-63   2.6178617850e-60   4.8105519924e-68   3.3954751034e-26   9.0056226378e-28   3.3234891694e-27   3.8820062423e-23   5.3681708292e-24   5.8942850837e-06   1.1646584858e-06   8.2338145978e-10   2.4690236287e-16   3.3347702112e-46   8.9255285324e-38   1.3318837472e-53   6.8531638634e-60   1.2908846495e-43   8.8367141341e-33   1.7646142581e-26   7.3502769269e-32   7.5740939338e-01   0.0000000000e+00  1.0082690367e-135  1.4608782426e-134   2.3667075765e-73   3.4398907983e-72
   2.0833333333e-03   2.0833333333e-02   1.2059395134e+03  -9.4920849340e+04   2.8678316832e-01   2.0983013456e-10   4.2537195182e-13   5.7400880875e-09   1.4494888727e-01   1.4759818208e-06   4.6787532146e-02   9.9288935806e-09   8.0537698548e-10   1.1487574878e-41   4.9721324352e-43   2.0872728295e-41   2.3641574570e-43   1.0847023417e-38   1.4941602169e-37   2.0340768377e-09   5.7149792146e-02   1.7554697484e-22   3.1836182170e-24   1.2373944338e-34   5.2963659684e-37   6.7601098434e-35   9.3695061932e-58   1.2487960681e-51   4.7130296734e-61   4.4164369962e-59   2.4918123408e-68   2.0030159976e-68   6.9438767487e-45   2.7527544201e-43   6.7483884781e-49   2.3002427162e-18   9.7151097429e-20   8.7856866955e-20   1.5734495124e-17   9.1007478567e-18   1.6721004586e-04   3.3053192610e-06   1.6932485339e-08   1.5816529532e-12   3.2969016656e-32   1.0986277857e-26   1.7139799139e-38   2.5428429064e-43   6.7557890748e-32   4.1146813322e-24   1.5550774191e-19   6.3185219152e-23   7.5094176144e-01   0.0000000000e+00   7.9581446304e-99   6.4612760717e-99   4.8366591204e-53   6.3682261931e-53
   2.9166666667e-03   2.9166666667e-02   1.5076447207e+03  -1.3365221983e+05   2.2789754781e-01   4.9443450951e-08   5.7358282682e-10   7.9179792117e-07   1.0935605338e-01   4.1999124793e-05   6.5480913746e-02   1.3579765323e-07   8.3903334417e-09   9.7529241612e-32   5.4403294039e-33   5.3517644170e-32   1.2602355463e-33   2.9543100368e-30   6.7161022448e-30   8.9965969961e-07   8.0008299943e-02   2.3687725642e-17   2.9646189944e-19   1.1597629122e-27   8.7009096169e-30   2.0207760382e-28   2.7409850006e-44   6.2298133339e-40   1.3034602698e-47   1.2284135290e-46   3.7370535726e-54   7.5134384816e-55   7.1991689512e-35   4.6020713635e-34   1.5200996395e-38   3.1892446345e-14   1.8369106899e-15   8.5630750185e-16   1.8422192556e-14   1.9249903485e-14   8.9695505979e-04   4.8914822149e-06   7.9003324422e-08   1.6263780661e-10   9.8489127573e-25   1.0726493173e-20   2.4117049594e-30   1.9747767459e-34   1.3317059454e-25   1.9331301467e-19   9.1943305218e-16   3.8346842604e-18   7.4420892244e-01   0.0000000000e+00   8.8518866503e-79   1.7354330438e-79   4.7625265780e-42   1.9498363919e-42
   3.7500000000e-03   3.7500000000e-02   1.7831507314e+03  -1.7238359032e+05   1.9141062626e-01   1.7064537896e-06   5.4429145774e-08   1.4985233569e-05   7.3339966908e-02   3.2097570899e-04   8.4033058882e-02   5.9101985976e-07   3.3655365892e-08   1.7264170657e-25   1.2181805857e-26   5.2684522865e-26   1.9503740135e-27   7.9754454311e-25   6.6130938982e-25   4.4518085732e-05   1.0279968529e-01   4.3772250182e-14   4.7706874211e-16   3.5028433044e-23   3.7466080142e-25   3.2902831685e-24   1.0547550140e-35   2.1134781035e-32   5.7138243978e-39   1.4289718856e-38   5.5512602388e-45   5.2061148790e-46   1.8145827672e-28   4.1266287259e-28   6.8659793711e-32   1.1659562425e-11   8.7327379445e-13   2.9331388100e-13   1.8555817963e-12   2.3668716665e-12   2.2569300144e-03   4.9964683236e-06   1.8566574106e-07   2.7868633072e-09   5.2533412700e-20   7.6100704464e-17   4.0068573128e-25   8.7503857432e-29   1.3168198565e-21   1.8699560362e-16   2.5009145737e-13   4.0417669407e-15   7.3718230938e-01   0.0000000000e+00   8.6900004845e-66   7.7794566983e-67   5.7426034622e-35   1.2549397300e-35
   4.5833333333e-03   4.5833333333e-02   2.0298560371e+03  -2.1111496082e+05   1.6691529954e-01   2.2765595229e-05   1.2779113332e-06   8.7236071092e-05   3.7661087136e-02   1.1396059718e-03   1.0211550731e-01   1.1833262489e-06   7.1873184998e-08   3.7810352077e-21   3.5025459608e-22   9.7954577856e-22   4.9013384161e-23   7.0940415459e-21   3.4395788804e-21   7.4023715356e-04   1.2456649735e-01   9.1125215081e-12   1.0246454945e-13   5.9478423633e-20   8.1099703327e-22   4.1851901436e-21   1.4276164639e-29   6.4080916409e-27   1.0657401485e-32   1.2483291054e-32   2.9703040629e-38   1.8999026356e-39   7.0431955371e-24   9.1216441216e-24   4.4790652508e-27   5.9444500733e-10   5.9215668131e-11   1.7988118358e-11   5.6810690951e-11   6.5244800892e-11   3.4063127884e-03   3.4014298797e-06   2.7060224830e-07   1.7118784640e-08   1.1122469096e-16   4.7684764086e-14   2.3006415664e-21   8.6065328341e-25   8.4591612288e-19   2.5344009621e-14   1.4679835137e-11   5.1937361653e-13   7.3025452754e-01   0.0000000000e+00   3.1598001596e-56   1.9031113472e-57   8.0416455986e-30   1.3114005928e-30
   5.4166666667e-03   5.4166666667e-02   2.2141197837e+03  -2.4984633134e+05   1.5130503599e-01   2.0266959323e-04   1.1763243611e-05   1.4039896929e-04   7.7620405741e-03   1.8518466168e-03   1.1875239712e-01   7.5489520229e-07   6.5090195873e-08   4.9551019248e-18   7.3788757047e-19   2.1586669781e-18   1.2950256499e-19   1.3740954978e-17   6.6513826419e-18   7.0992611851e-03   1.3743518650e-01   5.4612391687e-10   8.5690788862e-12   2.3549698057e-17   3.7314503023e-19   1.9066479401e-18   9.7551955304e-25   2.4333375849e-22   1.6452477450e-27   1.6728397184e-27   1.6171554548e-32   1.1260053991e-33   3.1322760595e-20   3.9613342537e-20   3.7433748524e-23   6.3594105376e-09   1.0233551406e-09   3.9969268279e-10   1.1360409719e-09   6.5377956325e-10   2.4171005958e-03   8.2894912657e-07   1.8846858153e-07   3.8828241806e-08   3.5539388563e-14   1.0029148625e-11   2.5043711147e-18   9.4672442596e-22   1.0008229684e-16   1.1703374399e-12   4.1125154729e-10   1.7077153416e-11   7.2432544880e-01   0.0000000000e+00   5.2071870194e-48   3.3874000782e-49   1.4482225190e-25   2.7143110876e-26
   6.2500000000e-03   6.2500000000e-02   2.1818384907e+03  -2.8857770185e+05   1.4935784545e-01   1.3499735532e-03   2.5636493624e-05   1.5505717874e-05   1.3889596611e-04   6.2069734654e-04   1.2774368971e-01   3.4145919608e-08   8.4506173279e-09   9.7269287446e-17   4.0741452433e-17   3.5964999541e-16   2.0947095442e-17   7.1036927945e-15   1.0445985976e-14   3.6005504746e-02   1.1487792143e-01   6.2437170591e-09   2.8193032611e-10   1.8275160396e-15   2.8249257834e-17   4.3940390154e-16   1.8756901306e-21   1.5646027863e-18   2.5581431226e-23   8.0871713797e-23   1.8905032089e-27   3.9444299047e-28   1.0897130117e-17   4.2034526826e-17   3.5693819703e-20   4.3658373330e-09   1.9748411804e-09   2.2498215666e-09   1.9768280784e-08   1.3526208533e-09   2.9931574781e-04   1.4157730510e-08   2.2955976729e-08   1.2085685216e-08   8.6146370304e-13   7.9077383743e-10   4.5902846810e-16   5.5914096620e-20   1.0043209517e-15   1.3694467196e-11   5.2194553595e-09   6.9481661753e-11   7.1892272516e-01   0.0000000000e+00   1.3599303107e-40   2.6542422172e-41   3.7035834890e-22   2.0616632897e-22
   7.0833333333e-03   7.0833333333e-02   2.0532647594e+03  -3.2730907236e+05   1.5336510616e-01   3.5099711554e-03   1.9187499590e-05   1.0701240422e-06   3.7303184399e-06   1.4439494645e-04   1.2746703614e-01   1.4111477298e-09   9.2741839054e-10   6.2519951479e-17   6.3743462592e-17   1.8503088956e-15   9.4912883251e-17   1.3575800054e-13   6.7835523419e-13   6.6780933874e-02   8.9383800919e-02   1.0897330796e-08   1.3225407425e-09   9.7972035594e-15   1.3633425128e-16   7.2467169012e-15   2.4089602151e-20   1.0288812462e-16   2.1387717332e-21   2.5336486664e-20   7.5337687183e-25   5.0270020312e-25   8.7469894810e-17   1.1643104312e-15   6.2524651892e-19   8.4248042627e-10   9.2444934124e-10   2.9975748202e-09   9.6231118696e-08   9.0142663617e-10   3.5623198570e-05   3.2871075984e-10   2.6909439682e-09   2.1642526146e-09   1.4455994525e-12   6.0351381384e-09   3.7614783178e-15   1.3028514501e-19   1.0585483101e-15   2.7886078934e-11   1.5080737548e-08   5.2881989339e-11   7.1265410899e-01   0.0000000000e+00   1.0729910652e-36   6.7342934657e-37   1.2863099368e-20   2.2045928626e-20
   7.9166666667e-03   7.9166666667e-02   1.9256206842e+03  -3.6604044277e+05   1.5812935247e-01   6.1829642913e-03   1.0732745149e-05   8.4407623977e-08   1.6291007778e-07   3.4679303172e-05   1.2242984790e-01   7.7829506329e-11   1.1934193764e-10   1.6212609194e-17   3.4963328025e-17   3.0053087437e-15   1.3364757748e-16   7.5149292520e-13   1.1614269127e-11   9.1230141754e-02   7.3829359406e-02   1.0815897248e-08   3.1087358222e-09   2.0808808142e-14   2.5779196828e-16   4.2424788897e-14   6.0520140686e-20   1.2627447363e-15   2.6722337676e-20   1.0896704047e-18   3.3033876396e-23   6.3494973921e-23   2.0721780593e-16   8.6543929252e-15   2.7804232638e-18   1.3229397879e-10   3.0543698897e-10   2.4986161368e-09   2.6807988316e-07   4.4463034260e-10   5.1964604768e-06   1.2237298981e-11   3.8827960524e-10   3.8994168911e-10   1.1059440962e-12   1.9755128322e-08   1.0373242670e-14   1.1274705712e-19   5.9942259903e-16   3.3048404311e-11   2.6536145370e-08   2.6684615167e-11   7.0627649809e-01   0.0000000000e+00   3.5170844030e-34   6.3991865909e-34   9.5932837292e-20   4.5384220627e-19
   8.7500000000e-03   8.7500000000e-02   1.8028585623e+03  -4.0477181328e+05   1.6347867904e-01   9.1426726296e-03   5.0651007174e-06   6.4230074733e-09   7.9898598177e-09   7.9710507908e-06   1.1476146031e-01   4.4065639189e-12   1.5282683795e-11   2.6148741655e-18   1.1450143682e-17   2.8841402015e-15   1.0970179722e-16   2.4736341421e-12   1.1827112002e-10   1.1175685262e-01   6.4437883049e-02   8.3516046852e-09   5.5260931792e-09   2.9591587583e-14   3.2340553661e-16   1.6396808754e-13   7.4658832192e-20   7.9177770644e-15   1.5264599443e-19   2.1586916607e-17   5.9769926529e-22   3.2785654098e-21   2.9509429394e-16   3.8620468881e-14   7.0808347312e-18   1.7409421067e-11   8.1029932392e-11   1.6332008367e-09   5.8770683750e-07   1.8351072752e-10   7.7647451557e-07   5.0580021825e-13   5.7669205042e-11   6.5843470109e-11   5.8441381202e-13   4.5936328912e-08   1.7874689913e-14   6.1296678099e-20   2.5181001376e-16   3.1099764432e-11   3.8567723334e-08   1.1044734502e-11   6.9988661604e-01   0.0000000000e+00   3.2837862859e-32   1.7172736435e-31   3.8421654335e-19   4.9508245258e-18
   9.5833333333e-03   9.5833333333e-02   1.6847006555e+03  -4.4350318375e+05   1.6949877322e-01   1.2267279281e-02   2.0714111230e-06   4.2675216824e-10   3.7067591444e-10   1.6694710824e-06   1.0558445471e-01   2.2416675536e-13   1.7873578530e-12   2.8893663782e-19   2.5814468284e-18   1.9834275465e-15   6.3531695035e-17   6.1907722757e-12   9.6448166101e-10   1.2997539750e-01   5.8672939930e-02   5.4771464388e-09   8.5058273689e-09   3.3365386211e-14   3.1826925261e-16   5.2070546900e-13   5.9896781355e-20   3.5595620018e-14   5.7957128780e-19   3.0197724696e-16   7.0877899288e-21   1.1561403401e-19   3.1379860348e-16   1.3535661649e-13   1.3413206699e-17   1.8699097032e-12   1.7592519111e-11   8.9544638677e-10   1.1429630098e-06   6.4993754030e-11   1.0852459904e-07   1.9515810209e-14   8.0558154539e-12   9.8854888099e-12   2.3863175901e-13   8.9804743158e-08   2.3534283682e-14   2.4326346528e-20   8.5061026424e-17   2.5446789946e-11   5.1001055998e-08   3.9169923114e-12   6.9349477862e-01   0.0000000000e+00   1.7213035589e-30   2.6983315426e-29   1.1196133282e-18   4.0758540983e-17
   1.0416666667e-02   1.0416666667e-01   1.5707254758e+03  -4.8223455425e+05   1.7630602260e-01   1.5494321416e-02   7.3542668790e-07   2.3018837580e-11   1.4606226329e-11   3.0658940978e-07   9.5474008966e-02   9.3628936029e-15   1.7972751876e-13   2.2170823668e-20   4.1743331995e-19   1.0536872915e-15   2.7907055920e-17   1.3180262658e-11   7.3019166374e-09   1.4675123265e-01   5.5174707246e-02   3.1418040959e-09   1.2031423848e-08   3.2014366937e-14   2.6314865634e-16   1.5070925505e-12   3.4928886138e-20   1.3401080030e-13   1.7314622033e-18   3.6657797888e-15   6.8621624183e-20   3.5883958168e-18   2.7177089195e-16   4.2113463504e-13   2.1156224716e-17   1.5816049320e-13   3.0991466123e-12   4.2116258689e-10   2.0918766061e-06   1.9747440893e-11   1.3351592944e-08   6.2958247923e-16   9.9678177199e-13   1.2636859307e-12   7.7939707098e-14   1.5932508802e-07   2.5807710051e-14   7.4188830556e-21   2.3562674873e-17   1.8720092975e-11   6.3960329776e-08   1.1950635953e-12   6.8710233619e-01   0.0000000000e+00   7.0168748434e-29   3.5581002831e-27   2.7185092597e-18   2.9979301372e-16
